"YEAR","MONTH","LIP","LCPI","NEER","GS3M","GS6M","GS1","GS3"
2006,1,437.205963562613,424.244972329194,389.371978900354,5.94045454545455,6.07590909090909,6.24772727272727,6.62045454545455
2006,2,438.085918957798,424.457512260426,389.802067688807,5.935,6.008,6.2,6.682
2006,3,441.7718398947,424.986894121397,392.633129323026,6.15727272727273,6.34227272727273,6.64045454545455,7.08272727272727
2006,4,441.409301733268,425.723351947618,393.959277997516,6.18105263157895,6.36947368421053,6.6778947368421,7.08263157894737
2006,5,442.133068463291,426.662325982602,392.97797022304,6.15727272727273,6.29727272727273,6.53409090909091,6.93
2006,6,444.155743012305,426.973368224041,395.800281904646,6.47333333333333,6.7552380952381,7.18095238095238,7.65571428571429
2006,7,444.742943760027,427.180193530447,397.549345879763,6.81047619047619,7.15238095238095,7.76047619047619,8.09428571428571
2006,8,440.680258407,427.180193530447,396.599675655359,7.27521739130435,7.46086956521739,7.87826086956522,8.16217391304348
2006,9,444.508477064102,429.629295531277,396.691655471532,7.75619047619048,8.01809523809524,8.15714285714286,8.35571428571429
2006,10,446.714022066421,430.031710561249,394.474114551642,8.16238095238095,8.34285714285714,8.50333333333333,8.39714285714286
2006,11,447.286433474809,430.332462667645,391.77234486825,8.10523809523809,8.14380952380952,8.17095238095238,7.91904761904762
2006,12,450.322079722869,430.432512701003,390.047327771671,7.98052631578947,7.98894736842105,7.93157894736842,7.67052631578947
2007,1,447.855586974788,431.62536978753,389.95425873856,7.93045454545455,7.97590909090909,7.97454545454545,7.78318181818182
2007,2,448.308588881963,432.90177396004,389.631270806061,8.031,8.075,8.11,7.7675
2007,3,448.082344441566,433.679231714753,388.33132611697,7.8655,7.8235,7.792,7.4925
2007,4,449.432196208656,434.065705625742,386.906306376383,7.62578947368421,7.53157894736842,7.38894736842105,7.11947368421053
2007,5,448.195530644935,434.83420124268,387.719258806668,7.61238095238095,7.53666666666667,7.2952380952381,6.96761904761905
2007,6,450.543318751163,435.216245642419,388.334634802776,7.60142857142857,7.54428571428571,7.30047619047619,7.04380952380952
2007,7,453.05299765979,435.216245642419,387.054163097048,7.39045454545455,7.26590909090909,7.05454545454545,6.81318181818182
2007,8,452.945180937756,435.120871290888,390.056364798465,7.45318181818182,7.40863636363636,7.27545454545455,7.16409090909091
2007,9,452.945180937756,435.786589393806,389.356763042774,7.439,7.3935,7.262,7.0545
2007,10,452.729198132413,436.636051792948,388.353826112835,7.29571428571429,7.23428571428571,7.13238095238095,6.94666666666667
2007,11,452.621031545339,437.198377548384,389.573360700795,7.30380952380952,7.28619047619048,7.21666666666667,7.18095238095238
2007,12,457.993571480955,437.57151230967,389.172043689839,7.41,7.39352941176471,7.36705882352941,7.40117647058824
2008,1,454.868317130545,438.498303002748,390.017019541258,7.40636363636364,7.40227272727273,7.435,7.445
2008,2,457.685404827214,439.599231553585,392.142353747053,7.72666666666667,7.74666666666667,7.87571428571429,8.04952380952381
2008,3,454.656452644516,440.145183774075,391.123361288211,8.3605,8.4275,8.6435,9.287
2008,4,455.606327860307,440.507503011017,388.859468227977,8.41227272727273,8.53772727272727,8.87727272727273,9.21181818181818
2008,5,453.697468204055,441.586650174294,386.693336467679,8.48315789473684,8.69,8.94947368421053,9.18421052631579
2008,6,451.969563443219,441.676055633982,385.109503445215,8.97809523809524,9.00095238095238,9.36142857142857,9.68380952380952
2008,7,451.423412440667,441.676055633982,381.450837165069,8.50608695652174,8.57652173913043,8.76130434782609,9.03391304347826
2008,8,452.295828006701,441.407599096915,383.076442168697,8.4825,8.4785,8.5815,8.5915
2008,9,448.984267128251,441.407599096915,384.834342432487,8.62136363636364,8.68363636363636,8.75863636363636,9.14363636363636
2008,10,447.057861946724,441.586650174294,391.092848841905,9.94,10.0704761904762,10.3590476190476,11.5361904761905
2008,11,443.801760341793,441.317953192211,393.316270673307,11.5655,11.5755,11.679,12.5845
2008,12,432.023456776154,440.958563766752,391.906868212784,9.3325,9.331,9.3255,9.84
2009,1,430.819428852946,441.586650174294,396.566660380382,9.205,9.1945,9.196,9.773
2009,2,427.257408441132,442.565741217755,401.664815450393,9.9265,10.058,10.7195,12.089
2009,3,431.890389557584,443.007633231559,402.991806572845,10.1390909090909,10.4768181818182,11.2486363636364,12.8463636363636
2009,4,427.396781285993,443.79815118227,400.780287005572,9.46047619047619,9.55190476190476,10.0952380952381,10.95
2009,5,428.228963619742,445.27451321283,396.878719490637,9.2765,9.3035,9.327,10.2105
2009,6,430.684748697908,445.27451321283,396.268030652813,9.25,9.26809523809524,9.36809523809524,10.0961904761905
2009,7,430.414843000992,446.644397648646,393.985627912407,8.90652173913043,8.92652173913043,8.86782608695652,8.94478260869565
2009,8,429.736874302454,446.303681816485,393.401613627106,7.86736842105263,7.90736842105263,7.83315789473684,8.30684210526316
